Price,Close,High,Low,Open,Volume
Ticker,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS,TITAN.NS
Date,,,,,
2020-08-18,1128.0054931640625,1134.1597719225397,1107.868620945871,1111.6596326209415,4134374
2020-08-19,1130.8118896484375,1141.2495230233385,1127.463937758173,1141.101796283916,2570066
2020-08-20,1108.45947265625,1120.9650399471395,1101.6652446691467,1112.7429470838986,2727302
2020-08-21,1120.6695556640625,1126.2823301870442,1111.8073939758647,1120.2756577711016,2181243
2020-08-24,1109.3948974609375,1129.1870333247125,1106.7854593041,1122.5404124614538,2122417
2020-08-25,1119.093994140625,1121.5557055223685,1105.70230826409,1113.6782291007892,1465877
2020-08-26,1116.8291015625,1132.3871645999093,1109.8871480217033,1122.2448662627605,2009966
2020-08-27,1120.2264404296875,1130.9102441202326,1109.7395255755353,1122.540425160701,1459135
2020-08-28,1116.7308349609375,1130.6641467666004,1114.2691233415894,1130.6641467666004,1628956
2020-08-31,1083.6453857421875,1135.3413264522874,1069.3674592603504,1113.678265583293,3373546
2020-09-01,1102.8958740234375,1112.3488207694636,1078.8695492350976,1088.0763248669002,2043953
2020-09-02,1104.1268310546875,1107.425500248252,1085.713157898278,1099.8433571129951,1919880
2020-09-03,1167.1466064453125,1173.350046783904,1104.126797337609,1104.126797337609,5945052
2020-09-04,1141.49560546875,1179.701415457344,1137.3106959813726,1143.8095902039724,3490945
2020-09-07,1149.81591796875,1158.4319064100698,1131.6978212927313,1146.172633793856,2166322
2020-09-08,1144.7451171875,1156.1181520716384,1136.9168025833667,1149.8161466609777,1994062
2020-09-09,1143.3172607421875,1153.853458043221,1130.7133700297984,1139.1816335179635,1918422
2020-09-10,1137.5567626953125,1147.9943943007559,1121.309468530004,1147.1574365202675,1841208
2020-09-11,1149.8653564453125,1175.7133252799856,1137.3106287256142,1138.2953132526493,5572098
2020-09-14,1169.80517578125,1173.3500159101354,1150.0622036484156,1150.603828198982,2019325
2020-09-15,1156.5614013671875,1201.31527053765,1152.2287648759157,1176.5012654888167,5204233
2020-09-16,1163.6016845703125,1170.7899298650916,1146.8620472215266,1161.9277689157343,2463561
2020-09-17,1164.2911376953125,1173.301026155242,1150.160937208273,1156.9551650363485,2019300
2020-09-18,1145.779052734375,1183.0986255969365,1139.6247735750069,1166.8513286162045,2575064
2020-09-21,1102.7481689453125,1153.8533173006479,1097.9724732758527,1145.7788324752987,2666086
2020-09-22,1087.53466796875,1110.2316921049367,1076.4078060574523,1102.8465588980303,2000953
2020-09-23,1100.0894775390625,1104.7667289234987,1086.1070056911517,1090.538085950091,2068183
2020-09-24,1079.3619384765625,1096.840088347699,1059.5205217657995,1095.953848257746,2356296
2020-09-25,1092.35986328125,1097.9233554454079,1064.6902493949303,1080.7406568418353,2275740
2020-09-28,1121.3095703125,1126.429882070288,1091.3751349112074,1101.8620497736003,2509616
2020-09-29,1149.42236328125,1156.1674286432462,1121.9003570308678,1127.4638489720598,3586518
2020-09-30,1182.9508056640625,1186.5449284501415,1145.4343469042549,1155.0350216365277,3635996
2020-10-01,1180.2921142578125,1192.4529439399244,1163.8970930941293,1185.1662545115378,2990243
2020-10-05,1176.0579833984375,1197.3764282206414,1170.4944915791368,1182.6061597804196,2151235
2020-10-06,1181.572265625,1197.3272195974862,1173.7440709502248,1185.5602864295895,2087249
2020-10-07,1234.7943115234375,1248.579893948739,1182.0644106663633,1186.5447730348822,9411156
2020-10-08,1234.942138671875,1243.2135128399254,1214.70682331439,1237.748465567977,3144780
2020-10-09,1235.97607421875,1249.5647699151518,1228.3940508031142,1234.9422274988494,1873176
2020-10-12,1237.5023193359375,1242.0318442665016,1217.0701147397801,1240.8994329836726,2009418
2020-10-13,1210.029541015625,1262.2671025647837,1204.9092296230099,1238.2900586885005,4735253
2020-10-14,1204.712158203125,1229.8216120101683,1199.8873004949126,1205.598398259992,4096708
2020-10-15,1195.01318359375,1218.5964514317636,1191.4683431419085,1204.1707982783657,2727327
2020-10-16,1204.4168701171875,1221.0580622059829,1197.3763519026113,1197.4256342079052,2772602
2020-10-19,1209.9803466796875,1215.691444588438,1194.5207281008998,1206.3369419544094,1606979
2020-10-20,1214.6082763671875,1226.4737721412203,1198.4594272500863,1211.1618807714963,2841242
2020-10-21,1225.636962890625,1237.305572411891,1210.177461623905,1221.9936776853262,2687516
2020-10-22,1210.620361328125,1233.809730358092,1201.3151404923165,1221.1565580414172,1973416
2020-10-23,1222.6827392578125,1228.6894110830347,1212.3435516383793,1216.0854009523784,1527141
